Produto,Finalidade,Tipo de Uso,Marca
Ivy C AOX Gel,Antioxidante com vitamina C para prevenção de sinais de envelhecimento,Tópico,Mantecorp
Ivy C10,Creme anti-idade com vitamina C nanoencapsulada para rugas e firmeza,Tópico,Mantecorp
Reviline Retinol Sérum,Sérum com retinol para renovação celular e redução de linhas finas,Tópico,Mantecorp
Glycare Sérum,Sérum anti-idade com ácido glicólico para textura e luminosidade da pele,Tópico,Mantecorp
Epidrat Calm B5,Hidratante calmante para peles sensíveis e sensibilizadas,Tópico,Mantecorp
Epidrat Mat FPS 30,Hidratante facial matificante com proteção solar para peles oleosas,Tópico,Mantecorp
Episol Color FPS 70,Protetor solar com cor disponível em diversos tons,Tópico,Mantecorp
Episol Sec Acqua FPS 60,Protetor solar facial com toque seco e alta proteção,Tópico,Mantecorp
Episol Color Stick FPS 50,Protetor solar em bastão com cor para reaplicação prática,Tópico,Mantecorp
Blancy TX,Clareador facial para tratamento de hiperpigmentações,Tópico,Mantecorp
Toleriane Double Repair Moisturizer,Hidratação e reparação da barreira cutânea,Tópico,La Roche-Posay
Cicaplast Baume B5,Reparação de pele irritada e ressecada,Tópico,La Roche-Posay
Effaclar Duo (+),Tratamento de acne e imperfeições,Tópico,La Roche-Posay
Anthelios Melt-in Milk SPF 100,Proteção solar de amplo espectro,Tópico,La Roche-Posay
Lipikar AP+ Balm,Hidratação intensa para pele muito seca,Tópico,La Roche-Posay
Hyalu B5 Serum,Preenchimento de rugas e hidratação,Tópico,La Roche-Posay
Retinol B3 Serum,Redução de linhas finas e uniformização da pele,Tópico,La Roche-Posay
Glycolic B5 Serum,Clareamento de manchas e renovação celular,Tópico,La Roche-Posay
Effaclar Adapalene Gel 0.1%,Tratamento de acne com retinoide,Tópico,La Roche-Posay
Mela B3 Serum,Clareamento de manchas escuras,Tópico,La Roche-Posay
Minéral 89,Fortalecimento e hidratação da pele,Tópico,Vichy
LiftActiv Supreme,Anti-idade e firmeza da pele,Tópico,Vichy
Normaderm PhytoAction,Controle da acne e oleosidade,Tópico,Vichy
LiftActiv Vitamin C Serum,Iluminação e uniformização do tom da pele,Tópico,Vichy
Aqualia Thermal,Hidratação profunda e duradoura,Tópico,Vichy
Neovadiol Compensating Complex,Cuidado para pele madura,Tópico,Vichy
Capital Soleil SPF 50,Proteção solar facial,Tópico,Vichy
Pureté Thermale 3-in-1,"Limpeza, tonificação e remoção de maquiagem",Tópico,Vichy
Slow Âge Fluid,Prevenção de sinais de envelhecimento,Tópico,Vichy
Dercos Energizing Shampoo,Fortalecimento capilar,Tópico,Vichy
Intensive Hyaluronic Cream,Hidratação intensa e preenchimento de rugas e linhas finas com ácido hialurônico,Tópico,Institut Esthederm
Intensive Retinol Cream,Correção de rugas profundas e renovação da pele com retinol,Tópico,Institut Esthederm
Intensive Vitamine C² Dual Concentrate,Sérum antioxidante concentrado com 2x vitamina C para manchas e uniformização,Tópico,Institut Esthederm
Intensive Propolis+ Ácido Salicílico,Sérum anti-imperfeições para pele oleosa e acneica,Tópico,Institut Esthederm
Intensive Propolis+ Ácido Ferúlico,Antioxidante com efeito matte para peles oleosas e acneicas,Tópico,Institut Esthederm
Intensive Retinol Balm Rejuvenecedor de Olhos,Contorno de olhos com retinol para reduzir rugas e linhas finas,Tópico,Institut Esthederm
Intensive Pro-Collagen+ Cream,Creme firmador que estimula colágeno e redefine contornos faciais,Tópico,Institut Esthederm
Intensive Hyaluronic Serum,Sérum hidratante com ácido hialurônico para pele desidratada,Tópico,Institut Esthederm
Intensive Vitamine C Gel-Cream,Gel-creme com vitamina C para iluminar e uniformizar a pele,Tópico,Institut Esthederm
Intensive Spirulina Cream,Creme revitalizante com spirulina para energizar a pele cansada,Tópico,Institut Esthederm
